site_no,datetime,tz_cd,Q (m3/s),H (m)
8159000,3/21/2022 17:00,CDT,0.351128903,136.524
8159000,3/21/2022 17:05,CDT,0.342633849,136.520952
8159000,3/21/2022 17:10,CDT,0.351128903,136.524
8159000,3/21/2022 17:15,CDT,0.351128903,136.524
8159000,3/21/2022 17:20,CDT,0.351128903,136.524
8159000,3/21/2022 17:25,CDT,0.351128903,136.524
8159000,3/21/2022 17:30,CDT,0.351128903,136.524
8159000,3/21/2022 17:35,CDT,0.351128903,136.524
8159000,3/21/2022 17:40,CDT,0.351128903,136.524
8159000,3/21/2022 17:45,CDT,0.351128903,136.524
8159000,3/21/2022 17:50,CDT,0.351128903,136.524
8159000,3/21/2022 17:55,CDT,0.351128903,136.524
8159000,3/21/2022 18:00,CDT,0.351128903,136.524
8159000,3/21/2022 18:05,CDT,0.351128903,136.524
8159000,3/21/2022 18:10,CDT,0.37944575,136.536192
8159000,3/21/2022 18:15,CDT,0.455901237,136.563624
8159000,3/21/2022 18:20,CDT,0.455901237,136.563624
8159000,3/21/2022 18:25,CDT,0.447406183,136.560576
8159000,3/21/2022 18:30,CDT,0.438911129,136.557528
8159000,3/21/2022 18:35,CDT,0.430416074,136.55448
8159000,3/21/2022 18:40,CDT,0.430416074,136.55448
8159000,3/21/2022 18:45,CDT,0.438911129,136.557528
8159000,3/21/2022 18:50,CDT,0.447406183,136.560576
8159000,3/21/2022 18:55,CDT,0.438911129,136.557528
8159000,3/21/2022 19:00,CDT,0.430416074,136.55448
8159000,3/21/2022 19:05,CDT,0.430416074,136.55448
8159000,3/21/2022 19:10,CDT,0.430416074,136.55448
8159000,3/21/2022 19:15,CDT,0.430416074,136.55448
8159000,3/21/2022 19:20,CDT,0.438911129,136.557528
8159000,3/21/2022 19:25,CDT,0.447406183,136.560576
8159000,3/21/2022 19:30,CDT,0.447406183,136.560576
8159000,3/21/2022 19:35,CDT,0.447406183,136.560576
8159000,3/21/2022 19:40,CDT,0.447406183,136.560576
8159000,3/21/2022 19:45,CDT,0.447406183,136.560576
8159000,3/21/2022 19:50,CDT,0.447406183,136.560576
8159000,3/21/2022 19:55,CDT,0.438911129,136.557528
8159000,3/21/2022 20:00,CDT,0.438911129,136.557528
8159000,3/21/2022 20:05,CDT,0.438911129,136.557528
8159000,3/21/2022 20:10,CDT,0.438911129,136.557528
8159000,3/21/2022 20:15,CDT,0.438911129,136.557528
8159000,3/21/2022 20:20,CDT,0.438911129,136.557528
8159000,3/21/2022 20:25,CDT,0.438911129,136.557528
8159000,3/21/2022 20:30,CDT,0.438911129,136.557528
8159000,3/21/2022 20:35,CDT,0.438911129,136.557528
8159000,3/21/2022 20:40,CDT,0.438911129,136.557528
8159000,3/21/2022 20:45,CDT,0.438911129,136.557528
8159000,3/21/2022 20:50,CDT,0.447406183,136.560576
8159000,3/21/2022 20:55,CDT,0.447406183,136.560576
8159000,3/21/2022 21:00,CDT,0.455901237,136.563624
8159000,3/21/2022 21:05,CDT,0.455901237,136.563624
8159000,3/21/2022 21:10,CDT,0.464396291,136.566672
8159000,3/21/2022 21:15,CDT,0.464396291,136.566672
8159000,3/21/2022 21:20,CDT,0.472891345,136.56972
8159000,3/21/2022 21:25,CDT,0.481386399,136.572768
8159000,3/21/2022 21:30,CDT,0.481386399,136.572768
8159000,3/21/2022 21:35,CDT,0.489881453,136.575816
8159000,3/21/2022 21:40,CDT,0.501208192,136.578864
8159000,3/21/2022 21:45,CDT,0.501208192,136.578864
8159000,3/21/2022 21:50,CDT,0.509703246,136.581912
8159000,3/21/2022 21:55,CDT,0.509703246,136.581912
8159000,3/21/2022 22:00,CDT,0.5181983,136.58496
8159000,3/21/2022 22:05,CDT,0.5181983,136.58496
8159000,3/21/2022 22:10,CDT,0.538020093,136.591056
8159000,3/21/2022 22:15,CDT,0.580495364,136.603248
8159000,3/21/2022 22:20,CDT,0.622970634,136.61544
8159000,3/21/2022 22:25,CDT,0.665445905,136.627632
8159000,3/21/2022 22:30,CDT,0.739069707,136.64592
8159000,3/21/2022 22:35,CDT,0.832515302,136.664208
8159000,3/21/2022 22:40,CDT,0.951446059,136.685544
8159000,3/21/2022 22:45,CDT,1.08453524,136.70688
8159000,3/21/2022 22:50,CDT,1.254436322,136.731264
8159000,3/21/2022 22:55,CDT,1.418674035,136.7526
8159000,3/21/2022 23:00,CDT,1.571585009,136.770888
8159000,3/21/2022 23:05,CDT,1.732991036,136.789176
8159000,3/21/2022 23:10,CDT,1.968020867,136.81356
8159000,3/21/2022 23:15,CDT,2.228535859,136.837944
8159000,3/21/2022 23:20,CDT,2.474892428,136.85928
8159000,3/21/2022 23:25,CDT,2.661783618,136.87452
8159000,3/21/2022 23:30,CDT,2.860001547,136.88976
8159000,3/21/2022 23:35,CDT,3.029902629,136.901952
8159000,3/21/2022 23:40,CDT,3.199803711,136.914144
8159000,3/21/2022 23:45,CDT,3.341387946,136.923288
8159000,3/21/2022 23:50,CDT,3.426338487,136.929384
8159000,3/21/2022 23:55,CDT,3.511289028,136.93548
8159000,3/22/2022 0:00,CDT,3.624556416,136.941576
8159000,3/22/2022 0:05,CDT,3.68119011,136.944624
8159000,3/22/2022 0:10,CDT,3.709506957,136.947672
8159000,3/22/2022 0:15,CDT,3.709506957,136.947672
8159000,3/22/2022 0:20,CDT,3.766140651,136.95072
8159000,3/22/2022 0:25,CDT,3.822774345,136.953768
8159000,3/22/2022 0:30,CDT,3.822774345,136.953768
8159000,3/22/2022 0:35,CDT,3.879408039,136.956816
8159000,3/22/2022 0:40,CDT,3.907724886,136.959864
8159000,3/22/2022 0:45,CDT,3.96435858,136.962912
8159000,3/22/2022 0:50,CDT,4.134259662,136.972056
8159000,3/22/2022 0:55,CDT,4.417428132,136.990344
8159000,3/22/2022 1:00,CDT,4.615646061,137.002536
8159000,3/22/2022 1:05,CDT,4.785547143,137.01168
8159000,3/22/2022 1:10,CDT,5.068715613,137.02692
8159000,3/22/2022 1:15,CDT,5.351884083,137.045208
8159000,3/22/2022 1:20,CDT,5.635052553,137.060448
8159000,3/22/2022 1:25,CDT,6.031488411,137.078736
8159000,3/22/2022 1:30,CDT,6.399607422,137.097024
8159000,3/22/2022 1:35,CDT,6.965944362,137.121408
8159000,3/22/2022 1:40,CDT,8.013667701,137.16408
8159000,3/22/2022 1:45,CDT,9.684361674,137.22504
8159000,3/22/2022 1:50,CDT,12.20456106,137.304288
8159000,3/22/2022 1:55,CDT,15.77248378,137.398776
8159000,3/22/2022 2:00,CDT,20.61466462,137.496312
8159000,3/22/2022 2:05,CDT,25.45684545,137.581656
8159000,3/22/2022 2:10,CDT,29.16635241,137.654808
