site_no,datetime,tz_cd,Q (m3/s),H (m)
8158970,3/20/22 0:00,CDT,0.083817867,153.624584
8158970,3/20/22 0:05,CDT,0.083817867,153.624584
8158970,3/20/22 0:10,CDT,0.083817867,153.624584
8158970,3/20/22 0:15,CDT,0.083817867,153.624584
8158970,3/20/22 0:20,CDT,0.083817867,153.624584
8158970,3/20/22 0:25,CDT,0.083817867,153.624584
8158970,3/20/22 0:30,CDT,0.083817867,153.624584
8158970,3/20/22 0:35,CDT,0.083817867,153.624584
8158970,3/20/22 0:40,CDT,0.083817867,153.624584
8158970,3/20/22 0:45,CDT,0.083817867,153.624584
8158970,3/20/22 0:50,CDT,0.083817867,153.624584
8158970,3/20/22 0:55,CDT,0.083817867,153.624584
8158970,3/20/22 1:00,CDT,0.083817867,153.624584
8158970,3/20/22 1:05,CDT,0.077304992,153.621536
8158970,3/20/22 1:10,CDT,0.077304992,153.621536
8158970,3/20/22 1:15,CDT,0.077304992,153.621536
8158970,3/20/22 1:20,CDT,0.077304992,153.621536
8158970,3/20/22 1:25,CDT,0.077304992,153.621536
8158970,3/20/22 1:30,CDT,0.077304992,153.621536
8158970,3/20/22 1:35,CDT,0.077304992,153.621536
8158970,3/20/22 1:40,CDT,0.077304992,153.621536
8158970,3/20/22 1:45,CDT,0.077304992,153.621536
8158970,3/20/22 1:50,CDT,0.077304992,153.621536
8158970,3/20/22 1:55,CDT,0.077304992,153.621536
8158970,3/20/22 2:00,CDT,0.077304992,153.621536
8158970,3/20/22 2:05,CDT,0.077304992,153.621536
8158970,3/20/22 2:10,CDT,0.077304992,153.621536
8158970,3/20/22 2:15,CDT,0.077304992,153.621536
8158970,3/20/22 2:20,CDT,0.077304992,153.621536
8158970,3/20/22 2:25,CDT,0.077304992,153.621536
8158970,3/20/22 2:30,CDT,0.077304992,153.621536
8158970,3/20/22 2:35,CDT,0.077304992,153.621536
8158970,3/20/22 2:40,CDT,0.077304992,153.621536
8158970,3/20/22 2:45,CDT,0.077304992,153.621536
8158970,3/20/22 2:50,CDT,0.077304992,153.621536
8158970,3/20/22 2:55,CDT,0.077304992,153.621536
8158970,3/20/22 3:00,CDT,0.077304992,153.621536
8158970,3/20/22 3:05,CDT,0.077304992,153.621536
8158970,3/20/22 3:10,CDT,0.077304992,153.621536
8158970,3/20/22 3:15,CDT,0.077304992,153.621536
8158970,3/20/22 3:20,CDT,0.077304992,153.621536
8158970,3/20/22 3:25,CDT,0.077304992,153.621536
8158970,3/20/22 3:30,CDT,0.077304992,153.621536
8158970,3/20/22 3:35,CDT,0.077304992,153.621536
8158970,3/20/22 3:40,CDT,0.077304992,153.621536
8158970,3/20/22 3:45,CDT,0.077304992,153.621536
8158970,3/20/22 3:50,CDT,0.077304992,153.621536
8158970,3/20/22 3:55,CDT,0.077304992,153.621536
8158970,3/20/22 4:00,CDT,0.077304992,153.621536
8158970,3/20/22 4:05,CDT,0.077304992,153.621536
8158970,3/20/22 4:10,CDT,0.077304992,153.621536
8158970,3/20/22 4:15,CDT,0.077304992,153.621536
8158970,3/20/22 4:20,CDT,0.077304992,153.621536
8158970,3/20/22 4:25,CDT,0.077304992,153.621536
8158970,3/20/22 4:30,CDT,0.077304992,153.621536
8158970,3/20/22 4:35,CDT,0.077304992,153.621536
8158970,3/20/22 4:40,CDT,0.077304992,153.621536
8158970,3/20/22 4:45,CDT,0.077304992,153.621536
8158970,3/20/22 4:50,CDT,0.077304992,153.621536
8158970,3/20/22 4:55,CDT,0.077304992,153.621536
8158970,3/20/22 5:00,CDT,0.077304992,153.621536
8158970,3/20/22 5:05,CDT,0.077304992,153.621536
8158970,3/20/22 5:10,CDT,0.077304992,153.621536
8158970,3/20/22 5:15,CDT,0.077304992,153.621536
8158970,3/20/22 5:20,CDT,0.077304992,153.621536
8158970,3/20/22 5:25,CDT,0.077304992,153.621536
8158970,3/20/22 5:30,CDT,0.077304992,153.621536
8158970,3/20/22 5:35,CDT,0.077304992,153.621536
8158970,3/20/22 5:40,CDT,0.077304992,153.621536
8158970,3/20/22 5:45,CDT,0.077304992,153.621536
8158970,3/20/22 5:50,CDT,0.077304992,153.621536
8158970,3/20/22 5:55,CDT,0.077304992,153.621536
8158970,3/20/22 6:00,CDT,0.077304992,153.621536
8158970,3/20/22 6:05,CDT,0.077304992,153.621536
8158970,3/20/22 6:10,CDT,0.077304992,153.621536
8158970,3/20/22 6:15,CDT,0.077304992,153.621536
8158970,3/20/22 6:20,CDT,0.077304992,153.621536
8158970,3/20/22 6:25,CDT,0.077304992,153.621536
8158970,3/20/22 6:30,CDT,0.077304992,153.621536
8158970,3/20/22 6:35,CDT,0.077304992,153.621536
8158970,3/20/22 6:40,CDT,0.077304992,153.621536
8158970,3/20/22 6:45,CDT,0.077304992,153.621536
8158970,3/20/22 6:50,CDT,0.077304992,153.621536
8158970,3/20/22 6:55,CDT,0.077304992,153.621536
8158970,3/20/22 7:00,CDT,0.077304992,153.621536
8158970,3/20/22 7:05,CDT,0.077304992,153.621536
8158970,3/20/22 7:10,CDT,0.077304992,153.621536
8158970,3/20/22 7:15,CDT,0.077304992,153.621536
8158970,3/20/22 7:20,CDT,0.077304992,153.621536
8158970,3/20/22 7:25,CDT,0.077304992,153.621536
8158970,3/20/22 7:30,CDT,0.077304992,153.621536
8158970,3/20/22 7:35,CDT,0.077304992,153.621536
8158970,3/20/22 7:40,CDT,0.077304992,153.621536
8158970,3/20/22 7:45,CDT,0.077304992,153.621536
8158970,3/20/22 7:50,CDT,0.077304992,153.621536
8158970,3/20/22 7:55,CDT,0.077304992,153.621536
8158970,3/20/22 8:00,CDT,0.077304992,153.621536
8158970,3/20/22 8:05,CDT,0.077304992,153.621536
8158970,3/20/22 8:10,CDT,0.077304992,153.621536
8158970,3/20/22 8:15,CDT,0.077304992,153.621536
8158970,3/20/22 8:20,CDT,0.077304992,153.621536
8158970,3/20/22 8:25,CDT,0.077304992,153.621536
8158970,3/20/22 8:30,CDT,0.077304992,153.621536
8158970,3/20/22 8:35,CDT,0.077304992,153.621536
8158970,3/20/22 8:40,CDT,0.077304992,153.621536
8158970,3/20/22 8:45,CDT,0.077304992,153.621536
8158970,3/20/22 8:50,CDT,0.077304992,153.621536
8158970,3/20/22 8:55,CDT,0.077304992,153.621536
8158970,3/20/22 9:00,CDT,0.077304992,153.621536
8158970,3/20/22 9:05,CDT,0.077304992,153.621536
8158970,3/20/22 9:10,CDT,0.077304992,153.621536
8158970,3/20/22 9:15,CDT,0.077304992,153.621536
8158970,3/20/22 9:20,CDT,0.077304992,153.621536
8158970,3/20/22 9:25,CDT,0.077304992,153.621536
8158970,3/20/22 9:30,CDT,0.077304992,153.621536
8158970,3/20/22 9:35,CDT,0.077304992,153.621536
